"symbol"	"name"
"FAM96A"	"Cytosolic Iron-Sulfur Assembly Component 2A"
"FAM96B"	"Cytosolic Iron-Sulfur Assembly Component 2B"
"FBXO18"	"FBH1 / F-Box DNA Helicase 1"
"FDPSL2A"	"FDPSP2 / Farnesyl Diphosphate Synthase Pseudogene 2"
"FDX1L"	"FDX2 / Ferredoxin 2"
"FKBP9L"	"FKBP9P1 / FKBP Prolyl Isomerase 9 Pseudogene 1"
"FLJ13197"	"ENSG00000231160 / KLF3-AS1"
"FLJ30403"	"LINC01530 [from clone name]"
"FLJ31306"	"Uncharacterized LOC379025"
"FLJ31662"	"Uncharacterized LOC440594"
"FLJ33360"	"LINC02145"
"FLJ35282"	"LINC01239"
"FLJ37453"	"Uncharacterized LOC729614"
"FLJ37505"	"LINC02393"
"FLJ39639"	"LINC00921"
"FLJ39739"	"ENSG00000233586 / Novel Pseudogene (FLJ39739)"
"FLJ42102"	"Uncharacterized LOC399923"
"FLJ42627"	"Uncharacterized LOC645644"
"FLJ43663"	"LINC-PINT / Long Intergenic Non-Protein Coding RNA, P53 Induced Transcript"
"FLJ43681"	"RPL23AP87 ribosomal protein L23a pseudogene 87 [from clone name]"
"FLJ43879"	"LINC01940 [from clone name]"
"FLJ45340"	"LINC01000"
"FRG1B"	"LOC102724813"
"FTSJ2"	"MRM2 / Mitochondrial RRNA Methyltransferase 2"
"FTSJD1"	"CMTR2 / Cap Methyltransferase 2"
"FTSJD2"	"CMTR1 / Cap Methyltransferase 1"
"FYB"	"FYN Binding Protein 1"
"GAREML"	"GAREM2 / GRB2 Associated Regulator Of MAPK1 Subtype 2"
"GARS"	"Glycyl-TRNA Synthetase"
"GAS6-AS2"	"GAS6-DT / GAS6 Divergent Transcript [GAS6 = Growth Arrest Specific 6]"
"GATS"	"CASTOR3 / CASTOR Family Member 3"
"GATSL3"	"CASTOR1 / Cytosolic Arginine Sensor For MTORC1 Subunit 1"
"GBAS"	"Nipsnap Homolog 2"
"GCN1L1"	"GCN1 / GCN1 Activator Of EIF2AK4"
"GCN1L1"	"GCN1 / GCN1 Activator Of EIF2AK4"
"GLT25D1"	"COLGALT1 / Collagen Beta(1-O)Galactosyltransferase 1"
"GLT25D2"	"COLGALT2 / Collagen Beta(1-O)Galactosyltransferase 2"
"GLTPD1"	"CPTP / Ceramide-1-Phosphate Transfer Protein"
"GLTSCR1"	"BICRA / BRD4 Interacting Chromatin Remodeling Complex Associated Protein"
"GLTSCR2"	"NOP53 Ribosome Biogenesis Factor"
"GLUD1P7"	"GLUD1P2 / Glutamate Dehydrogenase 1 Pseudogene 2"
"GNB2L1"	"RACK1 / Receptor For Activated C Kinase 1"
"GNB2L1"	"RACK1 / Receptor For Activated C Kinase 1"
"GPR116"	"ADGRF5 / Adhesion G Protein-Coupled Receptor F5"
"GPR125"	"ADGRA3 / Adhesion G Protein-Coupled Receptor A3"
"GPR56"	"ADGRG1 / Adhesion G Protein-Coupled Receptor G1"
"GRAMD2"	"GRAMD2A / GRAM Domain Containing 2A"
"GRAMD3"	"GRAM Domain Containing 2B / HCV NS3-Transactivated Protein 2"
"GS1-124K5.4"	"Uncharacterized LOC100289098"
"GS1-251I9.4"	"OTUD6B-AS1 / OTUD6B Antisense RNA 1"
"GTPBP5"	"MTG2 / Mitochondrial Ribosome Associated GTPase 2"
"GTSE1-AS1"	"GTSE1-DT / GTSE1 Divergent Transcript [GTSE1 = G2 And S-Phase Expressed 1]"
"GYLTL1B"	"LARGE2 / LARGE Xylosyl- And Glucuronyltransferase 2"
"H1F0"	"H1 Histone Family Member 0"
"H1F0"	"H1F0 / H1 Histone Family Member 0"
"H1FOO"	"H1 Histone Family Member O Oocyte Specific"
"H1FX"	"H1 Histone Family Member X"
"H2AFJ"	"H2AJ / H2A.J Histone"
"H2AFV"	"H2A Histone Family Member V"
"H2AFX"	"H2A Histone Family Member X"
"H2AFY"	"H2A Histone Family Member Y"
"H2AFY2"	"H2A Histone Family Member Y2"
"H2AFZ"	"H2A Histone Family Member Z [embryonic development]"
"H2AFZ"	"H2A Histone Family Member Z"
"H2BFWT"	"H2B Histone Family Member W, Testis Specific"
"H3F3A"	"H3 Histone Family Member 3A"
"H3F3AP4"	"H3 Histone, Family 3A, Pseudogene 4"
"H3F3B"	"H3 Histone Family Member 3B"
"H3F3C"	"H3 Histone Family Member 3C"
"HARS"	"HARS1  / Histidyl-TRNA Synthetase 1"
"HDGFRP2"	"HDGFL2 / HDGF Like 2"
"HDGFRP3"	"HDGFL3 / HDGF Like 3"
"HEATR2"	"DNAAF5 / Dynein Axonemal Assembly Factor 5"
"HEXDC"	"HEXD / Hexosaminidase D"
"HIAT1"	"MFSD14A / Major Facilitator Superfamily Domain Containing 14A"
"HIATL1"	"MFSD14B / Major Facilitator Superfamily Domain Containing 14B"
"HILS1"	"H1-9 / H1.9 Linker Histone (Pseudogene)"
"HIS1H2BN"	"Histone Cluster 1 H2B Family Member N"
"HIST1H1B"	"Histone Cluster 1 H1 Family Member B"
"HIST1H1C"	"Histone Cluster 1 H1 Family Member C"
"HIST1H1C"	"Histone Cluster 1 H1 Family Member C"
"HIST1H1D"	"Histone Cluster 1 H1 Family Member D"
"HIST1H1E"	"Histone Cluster 1 H1 Family Member E"
"HIST1H1T"	"Histone Cluster 1 H1 Family Member T"
"HIST1H2AC"	"Histone Cluster 1 H2A Family Member C"
"HIST1H2AG"	"Histone Cluster 1 H2A Family Member G"
"HIST1H2AH"	"Histone Cluster 1 H2A Family Member H"
"HIST1H2AJ"	"Histone Cluster 1 H2A Family Member J"
"HIST1H2AL"	"Histone Cluster 1 H2A Family Member L"
"HIST1H2AM"	"Histone Cluster 1 H2A Family Member M"
"HIST1H2BC"	"Histone Cluster 1 H2B Family Member C"
"HIST1H2BD"	"Histone Cluster 1 H2B Family Member D"
"HIST1H2BF"	"Histone Cluster 1 H2B Family Member F"
"HIST1H2BG"	"Histone Cluster 1 H2B Family Member G"
"HIST1H2BH"	"H2BC9 / H2B Clustered Histone 9"
"HIST1H2BJ"	"H2BC11 / H2B Clustered Histone 11"
"HIST1H2BK"	"Histone Cluster 1 H2B Family Member K"
"HIST1H2BL"	"Histone Cluster 1 H2B Family Member L"
"HIST1H3A"	"Histone Cluster 1 H3 Family Member A"
"HIST1H3C"	"Histone Cluster 1 H3 Family Member C"
"HIST1H3D"	"H3C4 / H3 Clustered Histone 4"
"HIST1H3E"	"Histone Cluster 1 H3 Family Member E"
"HIST1H3F"	"Histone Cluster 1 H3 Family Member F"
"HIST1H3H"	"Histone Cluster 1 H3 Family Member H"
"HIST1H3I"	"Histone Cluster 1 H3 Family Member I"
"HIST1H4A"	"H4C1 / H4 Clustered Histone 1"
"HIST1H4B"	"Histone Cluster 1 H4 Family Member B"
"HIST1H4C"	"Histone Cluster 1 H4 Family Member C"
"HIST1H4E"	"Histone Cluster 1 H4 Family Member E"
"HIST1H4J"	"Histone Cluster 1 H4 Family Member J"
"HIST1H4L"	"Histone Cluster 1 H4 Family Member L"
"HIST2H2AA3"	"Histone Cluster 2 H2A Family Member A3"
"HIST2H2AA4"	"Histone Cluster 2 H2A Family Member A4"
"HIST2H2AB"	"Histone Cluster 2 H2A Family Member B"
"HIST2H2AC"	"H2AC20 / H2A Clustered Histone 20"
"HIST2H2BE"	"H2BC21 / H2B Clustered Histone 21"
"HIST3H2A"	"H2AW / H2A.W Histone"
"HMP19"	"NSG2 / Neuronal Vesicle Trafficking Associated "
"HN1"	"Jupiter Microtubule Associated Homolog 1"
"HN1L"	"Jupiter Microtubule Associated Homolog 2"
"HNRNPU-AS1"	"HNRNPU / Heterogeneous Nuclear Ribonucleoprotein U"
"HNRPDL"	"Heterogeneous Nuclear Ribonucleoprotein D Like"
"HNRPLL"	"HNRNPLL / Heterogeneous Nuclear Ribonucleoprotein L Like"
"HRASLS"	"PLAAT1 / Phospholipase A And Acyltransferase 1"
"HRASLS2"	"PLAAT2 / Phospholipase A And Acyltransferase 2"
"HRSP12"	"RIDA / Reactive Intermediate Imine Deaminase A Homolog"
"hsa-mir-1199"	"MIR1199 / MicroRNA 1199"
"IARS"	"Isoleucyl-TRNA Synthetas"
"IBA57-AS1"	"IBA57-DT / IBA57 Divergent Transcript [IBA57 = Iron-Sulfur Cluster Assembly Factor IBA57]"
"ICT1"	"Mitochondrial Ribosomal Protein L58"
"IKBKAP"	"ELP1 / Elongator Complex Protein 1"
"IL8"	"CXCL8 / C-X-C Motif Chemokine Ligand 8"
"ILF3-AS1"	"ILF3-DT / ILF3 Divergent Transcript [ILF3 = Interleukin Enhancer Binding Factor 3]"
"INADL"	"PATJ Crumbs Cell Polarity Complex Component"
"ITFG3"	"FAM234A / Family With Sequence Similarity 234 Member A"
"JHDM1D-AS1"	"KDM7A-DT / KDM7A Divergent Transcript [KDM7A = Lysine Demethylase 7A]"
"KARS"	"Lysyl-TRNA Synthetase"
"KDELC1"	"POGLUT2 / Protein O-Glucosyltransferase 2"
"KDELC2"	"POGLUT3 / Protein O-Glucosyltransferase 3"
"KIAA0020"	"PUM3 / Pumilio RNA Binding Family Member 3"
"KIAA0101"	"PCLAF / PCNA Clamp Associated Factor"
"KIAA0101"	"PCLAF / PCNA Clamp Associated Factor / Hepatitis C Virus NS5A-Transactivated Protein 9"
"KIAA0141"	"DELE1 / DAP3 Binding Cell Death Enhancer 1"
"KIAA0146"	"SPIDR / Scaffold Protein Involved In DNA Repair"
"KIAA0195"	"TMEM94 / Transmembrane Protein 94"
"KIAA0196"	"WASHC5 / WASH Complex Subunit 5"
"KIAA0226"	"RUBCN / Rubicon Autophagy Regulator"
"KIAA0247"	"SUSD6 / Sushi Domain Containing 6"
"KIAA0317"	"AREL1 / Apoptosis Resistant E3 Ubiquitin Protein Ligase 1"
"KIAA0368"	"ECPAS / Ecm29 Proteasome Adaptor And Scaffold"
"KIAA0430"	"MARF1 / Meiosis Regulator And MRNA Stability Factor 1"
"KIAA0907"	"KHDC4 / KH Domain Containing 4, Pre-MRNA Splicing Factor "
"KIAA0922"	"TMEM131L / Transmembrane 131 Like"
"KIAA0947"	"ICE1 / Interactor Of Little Elongation Complex ELL Subunit 1"
"KIAA1033"	"WASHC4 / WASH Complex Subunit 4"
"KIAA1161"	"MYORG / Myogenesis Regulating Glycosidase (Putative)"
"KIAA1199"	"CEMIP / Cell Migration Inducing Hyaluronidase 1"
"KIAA1211"	"KIAA1211 [ Cancer-Related Regulator Of Actin Dynamics ]"
"KIAA1244"	"ARFGEF3 / ARFGEF Family Member 3"
"KIAA1279"	"KIF1BP / KIF1 Binding Protein"
"KIAA1377"	"CEP126 / Centrosomal Protein 126"
"KIAA1377"	"CEP126 / Centrosomal Protein 126"
"KIAA1429"	"VIRMA / Vir Like M6A Methyltransferase Associated"
"KIAA1430"	"CFAP97 / Cilia And Flagella Associated Protein 97"
"KIAA1430"	"CFAP97 / Cilia And Flagella Associated Protein 97"
"KIAA1456"	"TRMT9B / TRNA Methyltransferase 9B (Putative)"
"KIAA1467"	"FAM234B / Family With Sequence Similarity 234 Member B"
"KIAA1468"	"RELCH / RAB11 Binding And LisH Domain, Coiled-Coil And HEAT Repeat"
"KIAA1522"	"KIAA1522 [ Uncharacterized Protein KIAA1522 ]"
"KIAA1524"	"CIP2A / Cell Proliferation Regulating Inhibitor Of Protein Phosphatase 2A"
"KIAA1549"	"KIAA1549"
"KIAA1551"	"RESF1 / Retroelement Silencing Factor 1"
"KIAA1598"	"SHTN1 / Shootin 1"
"KIAA1609"	"MEAK7 / MTOR Associated Protein, Eak-7 Homolog"
"KIAA1644"	"SHISAL1 / Shisa Like 1"
"KIAA1683"	"IQCN / IQ Motif Containing N"
"KIAA1715"	"LNPK / Lunapark, ER Junction Formation Factor"
"KIAA1731"	"CEP295 / Centrosomal Protein 295"
"KIAA1737"	"CIPC / CLOCK Interacting Pacemaker"
"KIAA1875"	"WDR97 / WD Repeat Domain 97"
"KIAA1919"	"MFSD4B / Major Facilitator Superfamily Domain Containing 4B"
"KIAA1967"	"CCAR2 / Cell Cycle And Apoptosis Regulator 2"
"KIAA1984-AS1"	"CCDC183-AS1 / CCDC183 Antisense RNA 1"
"KIAA2018"	"USF3 / Upstream Transcription Factor Family Member 3"
"KIF1BP"	"KIF1 Binding Protein"
"KIRREL"	"KIRREL1 / Kirre Like Nephrin Family Adhesion Molecule 1"
"KLHL7-AS1"	"KLHL7 Divergent Transcript [KLHL7 = Kelch Like Family Member 7]"
"LARS"	"LARS / Leucyl-TRNA Synthetase"
"LDOC1L"	"RTL6 / Retrotransposon Gag Like 6"
"LEPRE1"	"P3H1 / Prolyl 3-Hydroxylase 1"
"LEPREL4"	"P3H4 / Prolyl 3-Hydroxylase Family Member 4 (Non-Enzymatic)"
"LHFP"	"LHFPL Tetraspan Subfamily Member 6"
"LINC00094"	"BRD3OS / BRD3 Opposite Strand"
"LINC00116"	"MTLN / Mitoregulin"
"LINC00152"	"CYTOR / Cytoskeleton Regulator RNA"
"LINC00176"	"C20orf204 / Chromosome 20 Open Reading Frame 204"
"LINC00263"	"OLMALINC / Oligodendrocyte Maturation-Associated Long Intergenic Non-Coding RNA"
"LINC00338"	"SNHG20 / Small Nucleolar RNA Host Gene 20"
"LINC00483"	"ANKRD40CL / ANKRD40 C-Terminal Like"
"LINC00493"	"SMIM26 / Small Integral Membrane Protein 26"
"LINC00516"	"BMS1P18 / BMS1 Pseudogene 1"
"LINC00657"	"NORAD / Non-Coding RNA Activated By DNA Damage"
"LINC00936"	"ATP2B1-AS1 / ATP2B1 Antisense RNA 1"
"LINC00969"	"MIR570HG / MIR570 Host Gene"
"LINC00998"	"SMIM30 / Small Integral Membrane Protein 30"
"LINC01272"	"SMIM25 / Small Integral Membrane Protein 25"
"LINC01420"	"NBDY / Negative Regulator Of P-Body Association"
"LINS"	"LINS1 / Lines Homolog 1"
"LL22NC03-121E8.3"	"LL22NC03-121E8.3"
"LLNLR-245B6.1"	"LLNLR-245B6.1"
"LOC100009676"	"ZBTB11-AS1 / ZBTB11 Antisense RNA 1"
"LOC100126784"	"Uncharacterized LOC100126784"
"LOC100128252"	"ZNF667-AS1 / ZNF667 Antisense RNA 1 (Head To Head)"
"LOC100128288"	"Uncharacterized LOC100128288"
"LOC100128338"	"FAM83H-AS1 / FAM83H Antisense RNA 1 (Head To Head)"
"LOC100128398"	"Uncharacterized LOC100128398"
"LOC100128531"	"KIAA1671-AS1 / KIAA1671 Antisense RNA 1"
"LOC100128573"	"uncharacterized LOC100128573 [discontinued]"
"LOC100128675"	"HPN-AS1 HPN antisense RNA 1"
"LOC100128682"	"LINC01531"
"LOC100129269"	"LINC01160"
"LOC100129361"	"SMIM10L1 / small integral membrane protein 10 like 1"
"LOC100129480"	"MKRN2OS / MKRN2 Opposite Strand"
"LOC100129917"	"Uncharacterized LOC100129917"
"LOC100129935"	"LOC100129935 / Galectin 14 Pseudogene"
"LOC100130370"	"Uncharacterized LOC100130370"
"LOC100130451"	"SPAG16-DT / SPAG16 Divergent Transcript"
"LOC100130581"	"LINC00910 / Long Intergenic Non-Protein Coding RNA 910"
"LOC100130776"	"AGAP2-AS1 / AGAP2 Antisense RNA 1"
"LOC100130872"	"Uncharacterized LOC100130872"
"LOC100130899"	"FAM83F / family with sequence similarity 83 member F / uncharacterized LOC100130899 [discontinued]"
"LOC100130954"	"LINC01502"
"LOC100131067"	"CKMT2-AS1 / CKMT2 Antisense RNA 1"
"LOC100131096"	"TNRC6C-AS1 / TNRC6C Antisense RNA 1"
"LOC100131257"	"Zinc Finger Protein 655 Pseudogene"
"LOC100131347"	"RDM1P5 / RDM1 Pseudogene 5"
"LOC100131564"	"CCDC18-AS1 / CCDC18 Antisense RNA 1"
"LOC100131626"	"Uncharacterized LOC100131626"
"LOC100131691"	"MZF1-AS1 / MZF1 Antisense RNA 1"
"LOC100132077"	"Uncharacterized LOC100132077"
"LOC100132247"	"NPIPB5 / Nuclear Pore Complex Interacting Protein Family Member B5"
"LOC100132352"	"FRG1HP / FSHD Region Gene 1 Family Member H, Pseudogene"
"LOC100133331"	"Uncharacterized LOC100133331"
"LOC100133445"	"TNFRSF14-AS1 / TNFRSF14 antisense RNA 1 [replacement ID]"
"LOC100134229"	"KDM7A-DT / KDM7A Divergent Transcript"
"LOC100134868"	"Uncharacterized LOC100134868"
"LOC100144595"	"Uncharacterized LOC100144595"
"LOC100188947"	"HECTD2-AS1 / HECTD2 Antisense RNA 1"
"LOC100190986"	"Uncharacterized LOC100190986"
"LOC100216479"	"FAR2P2 / Fatty Acyl-CoA Reductase 2 Pseudogene 2"
"LOC100216546"	"LINC01004"
"LOC100268168"	"Uncharacterized LOC100268168"
"LOC100271836"	"SMG1P3 / SMG1 Pseudogene 3"
"LOC100272216"	""
"LOC100287015"	"Uncharacterized LOC100287015"
"LOC100287314"	"LINC00941"
"LOC100287792"	"Uncharacterized LOC100287792"
"LOC100287792"	"Uncharacterized LOC100287792"
"LOC100287846"	"Uncharacterized LOC100287846"
"LOC100288069"	"Uncharacterized LOC100288069"
"LOC100288637"	"OTU Deubiquitinase 7A Pseudogene"
"LOC100288748"	"Uncharacterized LOC100288748"
"LOC100288778"	"WASH8P / WAS Protein Family Homolog 8, Pseudogene"
"LOC100289019"	"SLC25A25-AS1 / SLC25A25 Antisense RNA 1"
"LOC100289341"	"MAN1B1-DT / MAN1B1 Divergent Transcript"
"LOC100289495"	"Uncharacterized LOC100289495"
"LOC100294362"	"RNF213-AS1 / RNF213 Antisense RNA 1"
"LOC100335030"	"FGFR1 Oncogene Partner 2 Pseudogene"
"LOC100379224"	"Uncharacterized LOC100379224"
"LOC100505495"	"PCAT19 / Prostate Cancer Associated Transcript 19"
"LOC100505659"	"LINC00967"
"LOC100505702"	"LINC01094"
"LOC100505776"	"LINC01541"
"LOC100505783"	""
"LOC100505812"	"CARD8-AS1 / CARD8 Antisense RNA 1"
"LOC100505865"	"LINC00920"
"LOC100505876"	"CEBPZOS / CEBPZ opposite strand"
"LOC100505989"	"SMIM31"
"LOC100506023"	"Uncharacterized LOC100506023"
"LOC100506060"	"SMG1P7 / SMG1 Pseudogene 7"
"LOC100506123"	"Uncharacterized LOC100506123"
"LOC100506190"	"LINC00963"
"LOC100506241"	"LL22NC01-81G9.3 / Uncharacterized Protein FLJ39582-Like"
"LOC100506305"	"LINC00958"
"LOC100506385"	"LINC01426"
"LOC100506421"	"PANTR1 / POU3F3 Adjacent Non-Coding Transcript 1"
"LOC100506469"	"TMEM147-AS1 / TMEM147 Antisense RNA 1"
"LOC100506472"	"Uncharacterized LOC100506472"
"LOC100506472"	"Uncharacterized LOC100506472"
"LOC100506548"	"RPL37 ribosomal protein L37 [replacement IF]"
"LOC100506548"	"RPL37 ribosomal protein L37 / Uncharacterized LOC100506548 [discontinued]"
"LOC100506688"	"Uncharacterized LOC100506688"
"LOC100506688"	"Uncharacterized LOC100506688"
"LOC100506730"	"Uncharacterized LOC100506730"
"LOC100506746"	"AFF1-AS1 / AFF1 Antisense RNA 1 "
"LOC100506990"	"Uncharacterized LOC100506990"
"LOC100507032"	"TMCC1-AS1 / TMCC1 Antisense RNA 1 (Head To Head)"
"LOC100507117"	"ASAP1-IT2 / ASAP1 Intronic Transcript 2"
"LOC100507156"	"Uncharacterized LOC100507156"
"LOC100507173"	"LINC01012"
"LOC100507501"	"LINC01569"
"LOC100507577"	"LONP2 lon peptidase 2, peroxisomal [replacement ID]"
"LOC100652772"	"NNT-AS1 / NNT Antisense RNA 1"
"LOC100862671"	""
"LOC100996291"	"LINC01993"
"LOC101059948"	"Uncharacterized LOC101059948"
"LOC101101776"	"BMS1P17 / BMS1 Pseudogene 17"
"LOC143666"	"Uncharacterized LOC143666"
"LOC145820"	"LINC00924"
"LOC146481"	"FRG2DP / FSHD Region Gene 2 Family Member D, Pseudogene"
"LOC148413"	"MRPL20-AS1 Gene"
"MRPL20 Antisense RNA 1"	""
"LOC150381"	"PRR34-AS1 / PRR34 Antisense RNA 1"
"LOC150776"	"LOC150776 / Sphingomyelin Phosphodiesterase 4, Neutral Membrane (Neutral Sphingomyelinase-3)"
"LOC150776"	"Sphingomyelin Phosphodiesterase 4, Neutral Membrane (Neutral Sphingomyelinase-3) Pseudogene"
"LOC151475"	"LINC01907"
"LOC152217"	"NCBP2AS2 / NCBP2 antisense 2 (head to head)"
"LOC157273"	"Uncharacterized LOC157273"
"LOC158696"	"FGF13 fibroblast growth factor 13 / LINC00889 [discontinued]"
"LOC202781"	"PAXIP1-AS1 / PAXIP1 Antisense RNA 1 (Head To Head)"
"LOC220729"	"Succinate Dehydrogenase Complex Flavoprotein Subunit A Pseudogene"
"LOC253039"	"PSMD5-AS1 / CUTALP / CutA Divalent Cation Tolerance Homolog-Like, Pseudogene"
"LOC254559"	"MIR9-3HG / MIR9-3 Host Gene"
"LOC257396"	"Uncharacterized LOC257396"
"LOC283335"	"Uncharacterized LOC283335"
"LOC283683"	"Uncharacterized LOC283683"
"LOC283693"	"ACTG1P17 / Actin Gamma 1 Pseudogene 17"
"LOC283731"	"Uncharacterized LOC283731"
"LOC284023"	"RNF227 / Ring Finger Protein 227"
"LOC284260"	"LINC00907"
"LOC284276"	"LINC00908"
"LOC284379"	"Solute Carrier Family 7 Member 3 Pseudogene"
"LOC284385"	"ZNF561-AS1 / ZNF561 Antisense RNA 1 (Head To Head)"
"LOC284412"	"Uncharacterized LOC284412"
"LOC284454"	"Uncharacterized LOC284454"
"LOC284551"	"LINC01226"
"LOC284581"	"Uncharacterized LOC284581"
"LOC284751"	"LINC01270"
"LOC284889"	"MIF-AS1 / MIF Antisense RNA 1"
"LOC284950"	"Uncharacterized LOC284950"
"LOC285696"	"BASP1-AS1 / BASP1 Antisense RNA 1"
"LOC285696"	"BASP1-AS1 / BASP1 Antisense RNA 1"
"LOC286186"	"LINC01299"
"LOC286437"	"Uncharacterized LOC286437"
"LOC338817"	"LINC01252"
"LOC339803"	"Uncharacterized LOC339803"
"LOC340515"	"LINC01501"
"LOC344595"	"DUBR / DPPA2 Upstream Binding RNA"
"LOC349196"	"LINC00965"
"LOC375295"	"LINC01116"
"LOC388152"	"GOLGA2P7 / GOLGA2 Pseudogene 7"
"LOC388796"	"SNHG17 / Small Nucleolar RNA Host Gene 17"
"LOC389641"	"Uncharacterized LOC389641"
"LOC389791"	"PTGES2-AS1 / PTGES2 Antisense RNA 1 (Head To Head)"
"LOC400891"	"LRRC74B / Leucine Rich Repeat Containing 74B"
"LOC400958"	"LINC02245 / Long Intergenic Non-Protein Coding RNA 2245"
"LOC401052"	"Uncharacterized LOC401052 [discontinued]"
"LOC401321"	"LINC00997"
"LOC401397"	"SMIM30 / small integral membrane protein 3"
"LOC439994"	"LINC00863"
"LOC440028"	"LINC02709 / Long Intergenic Non-Protein Coding RNA 2709"
"LOC440040"	""
"LOC440173"	"Uncharacterized LOC440173"
"LOC440288"	"UBL7-AS1 / UBL7 Antisense RNA 1 (Head To Head)"
"LOC440297"	"CSPG4P8 chondroitin sulfate proteoglycan 4 pseudogene 8 [discontinued]"
"LOC440300"	"Chondroitin Sulfate Proteoglycan 4 Pseudogene"
"LOC440354"	"SMG1P2 / SMG1 Pseudogene 2"
"LOC440600"	"RBM15-AS1 / RBM15 Antisense RNA 1"
"LOC441081"	"LOC441081 / POM121 Membrane Glycoprotein (Rat) Pseudogene"
"LOC441155"	"Zinc Finger CCCH-Type Domain-Containing-Like"
"LOC441242"	"Uncharacterized LOC441242"
"LOC441666"	"Zinc Finger Protein 91 Pseudogene"
"LOC493754"	"GS1-124K5.11 / RAB Guanine Nucleotide Exchange Factor 1 Pseudogene"
"LOC541471"	"MIR4435-2HG / MIR4435-2 Host Gene"
"LOC550643"	"NBDY / negative regulator of P-body association"
"LOC553103"	"MIR3936HG / MIR3936 Host Gene"
"LOC613037"	"NPIPB13 / Nuclear Pore Complex Interacting Protein Family, Member B13"
"LOC642236"	"FRG1JP / FSHD Region Gene 1 Family Member J, Pseudogene"
"LOC642846"	""
"LOC643401"	"PURPL / P53 Upregulated Regulator Of P53 Levels"
"LOC643406"	"Uncharacterized LOC643406"
"LOC644936"	"Actin Beta Pseudogene"
"LOC644961"	"ACTG1P20 / Actin Gamma 1 Pseudogene 20"
"LOC645249"	"MNX1-AS1 / MNX1 Antisense RNA 1 (Head To Head)"
"LOC645513"	"Septin 7 Pseudogene"
"LOC646214"	"P21 Protein (Cdc42/Rac)-Activated Kinase 2 Pseudogene"
"LOC646719"	"NIPBL-DT / NIPBL Divergent Transcript"
"LOC646719"	"NIPBL-DT / NIPBL divergent transcript"
"LOC646762"	""
"LOC648691"	"LL22NC03-63E9.3 / Uncharacterized LOC648691"
"LOC652276"	"Potassium Channel Tetramerization Domain Containing 5 Pseudogene"
"LOC654433"	"PAX8-AS1 / PAX8 Antisense RNA 1"
"LOC727896"	"Cysteine And Histidine Rich Domain Containing 1 Pseudogene"
"LOC728190"	"NUTM2A-AS1 / NUTM2A Antisense RNA 1"
"LOC728323"	"LINC01881"
"LOC728558"	"ENTPD1-AS1 / ENTPD1 Antisense RNA 1"
"LOC728558"	"ENTPD1-AS1 / ENTPD1 Antisense RNA 1"
"LOC728606"	"PCAT18 / Prostate Cancer Associated Transcript 18"
"LOC728730"	"MAP4K3-DT / MAP4K3 Divergent Transcript"
"LOC729013"	"ZBED5-AS1 / ZBED5 Antisense RNA 1"
"LOC729603"	"Calcineurin Like EF-Hand Protein 1 Pseudogene"
"LOC729609"	"Uncharacterized LOC729609"
"LOC729732"	"Uncharacterized LOC729732"
"LOC729852"	"UMAD1 / UBAP1-MVB12-associated (UMA) domain containing 1"
"LOC729987"	"LINC01776"
"LOC730102"	"CRYZL2P / Crystallin Zeta Like 2, Pseudogene"
"LOC731275"	"LINC01347"
"LOC90834"	"Uncharacterized / withdrawn"
"LOC91948"	"LINC00923 / Long Intergenic Non-Protein Coding RNA 923"
"LOC96610"	"BMS1P20 / BMS1 Pseudogene 20"
"LOH12CR1"	"BORCS5 / BLOC-1 Related Complex Subunit 5"
"LPHN1"	"ADGRL1 / Adhesion G Protein-Coupled Receptor L1"
"LPPR1"	"PLPPR1 / Phospholipid Phosphatase Related 1"
"LPPR2"	"PLPPR2 / Phospholipid Phosphatase Related 2"
"LRRC16A"	"CARMIL1 / Capping Protein Regulator And Myosin 1 Linker 1"
"LSMD1"	"NAA38 / N(Alpha)-Acetyltransferase 38, NatC Auxiliary Subunit"
"LUST"	"RBM5-AS1 / RBM5 Antisense RNA 1"
"LYRM5"	"ETFRF1 / Electron Transfer Flavoprotein Regulatory Factor 1"
"MAFG-AS1"	"MAFG-DT / MAFG Divergent Transcript [MAFG = MAF BZIP Transcription Factor G]"
"MAN1B1-AS1"	"MAN1B1-DT / MAN1B1 Divergent Transcript [MAN1B1 = Mannosidase Alpha Class 1B Member 1]"
"MARCH1"	"MARCHF1 / Membrane Associated Ring-CH-Type Finger 1"
"MARCH11"	"Membrane Associated Ring-CH-Type Finger 11"
"MARCH2"	"MARCHF2 / Membrane Associated Ring-CH-Type Finger 2"
"MARCH5"	"MARCHF5 / Membrane Associated Ring-CH-Type Finger 5"
"MARCH6"	"Membrane Associated Ring-CH-Type Finger 6"
"MARCH7"	"MARCHF7 / Membrane Associated Ring-CH-Type Finger 7"
"MARCH9"	"MARCHF9 / Membrane Associated Ring-CH-Type Finger 9"
"MARS"	"Methionyl-TRNA Synthetase"
"MB21D1"	"CGAS / Cyclic GMP-AMP Synthase"
"MEF2BNB"	"BORCS8 / BLOC-1 Related Complex Subunit 8"
"MESDC1"	"TLNRD1 / Talin Rod Domain Containing 1"
"MESDC2"	"Mesoderm Development LRP Chaperone [Wnt modulator]"
"METTL10"	"EEF1AKMT2 / EEF1A Lysine Methyltransferase 2"
